English,Hindi
of,का
and,और
to,को
in,में
i,मैं
that,वह
was,था
his,उसका
he,वह
it,यह
with,साथ
is,है
for,के लिए
as,जैसा
had,था
you,तुम
not,नहीं
be,होना
her,उसकी
on,पर
at,पर
by,द्वारा
which,कौन सा
have,पास
or,या
from,से
this,यह
but,लेकिन
all,सब
she,वह
they,वे
were,थे
my,मेरे
are,हैं
me,मुझे
one,एक
their,उनका
so,इसलिए
an,एक
said,कहा
them,उन्हें
we,हम
who,कौन
would,चाहेंगे
been,गया
will,मर्जी
no,नहीं
when,जब
there,वहाँ
if,अगर
more,अधिक
out,बाहर
up,यूपी
into,में
do,करना
any,कोई भी
your,आपका
what,क्या
has,है
man,पुरुष
could,सकना
other,अन्य
than,बजाय
our,हमारी
some,कुछ
very,बहुत
time,समय
upon,ऊपर
about,के विषय में
may,मई
its,इसका
only,केवल
now,अभी
like,पसंद करना
little,छोटा सा
then,तब
can,कर सकते हैं
should,चाहिए
made,बनाया
did,किया
us,हम
such,ऐसा
a,ए
great,महान
before,इससे पहले
must,जरूर
two,दो
these,ये
see,देख
know,जानना
over,ऊपर
much,बहुत
down,नीचे
after,बाद
first,प्रथम
Mr,श्री
good,अच्छा
men,पुरुषों
own,अपना
never,कभी नहीं
most,अधिकांश
old,पुराना
shall,करेगा
day,दिन
where,कहाँ पे
those,वे
came,आया
come,आइए
himself,वह स्वयं
way,मार्ग
work,काम
life,जीवन
without,के बिना
go,जाओ
make,बनाना
well,कुंआ
through,के माध्यम से
being,प्राणी
long,लंबा
say,कहना
might,ताकत
how,कैसे
am,हूँ
too,भी
even,यहाँ तक की
def,डीईएफ़
again,दोबारा
many,अनेक
back,वापस
here,यहाँ
think,सोच
every,हर एक
people,लोग
went,गया
same,वैसा ही
last,अंतिम
thought,विचार
away,दूर
under,नीचे
take,लेना
found,मिला
hand,हाथ
eyes,आंखें
still,फिर भी
place,जगह
while,जबकि
just,अभी-अभी
also,भी
young,युवा
yet,अभी तक
though,हालांकि
against,के खिलाफ
things,चीज़ें
get,पाना
ever,हमेशा
give,देना
god,ईश्वर
years,वर्षों
off,बंद
face,चेहरा
nothing,कुछ नहीं
right,सही
once,एक बार
another,एक और
left,बाएं
part,अंश
saw,देखा
house,मकान
world,दुनिया
head,सिर
three,तीन
took,ले लिया
new,नवीन व
love,प्यार
always,हमेशा
Mrs,श्रीमती
put,लगाना
night,रात
each,प्रत्येक
king,राजा
between,के बीच
tell,कहना
mind,मन
heart,हृदय
few,कुछ
because,क्योंकि
thing,चीज़
whom,किसको
far,दूर
seemed,प्रतीत हुआ
looked,देखा
called,बुलाया
whole,पूरा का पूरा
de,डे
set,सेट
both,दोनों
got,मिलना
find,पाना
done,किया हुआ
heard,सुना
look,देखना
name,नाम
days,दिन
told,बताया
let,होने देना
lord,भगवान
country,देश
asked,पूछा
going,जा रहा है
seen,देखा गया
better,बेहतर
having,होना
home,घर
knew,जानता था
side,पक्ष
something,कुछ
moment,पल
father,पिता जी
among,के बीच में
course,पाठ्यक्रम
hands,हाथ
woman,महिला
enough,बस ए
words,शब्दों
mother,मां
soon,जल्द ही
full,भरा हुआ
end,अंत
gave,दिया
room,कमरा
almost,लगभग
small,छोटा
thou,तुम
cannot,नही सकता
water,पानी
want,चाहना
however,हालाँकि
light,रोशनी
quite,अत्यंत
brought,लाया
nor,और न
word,शब्द
whose,किसका
given,दिया गया
door,द्वार
best,श्रेष्ठ
turned,बदल गया
taken,लिया
does,करता है
use,उपयोग
morning,प्रभात
myself,खुद
Gutenberg,गुटेनबर्ग
felt,महसूस किया
until,जब तक
since,जबसे
power,शक्ति
themselves,खुद
used,उपयोग किया गया
rather,बल्कि
began,शुरू किया
present,वर्तमान
voice,आवाज़
others,अन्य
white,सफेद
works,काम करता है
less,कम
money,पैसे
next,अगला
poor,गरीब
death,मौत
stood,खड़ा हुआ
form,प्रपत्र
together,साथ में
till,हमहूँ कक्काजी हो जाएँगे ट्वैन्टी फर्स्ट सैन्चुरी तक
thy,तेरा
large,विशाल
matter,मामला
kind,तरह
often,अक्सर
certain,निश्चित
herself,स्वयं
year,साल
friend,दोस्त
half,आधा
order,गण
round,गोल
TRUE,सच
anything,कुछ भी
keep,रखना
sent,भेजा
wife,पत्नी
means,साधन
believe,विश्वास करना
passed,उत्तीर्ण
feet,पैर
near,पास में
public,जनता
state,राज्य
son,बेटा
hundred,सौ
children,बच्चे
thus,इस प्रकार
hope,आशा
alone,अकेला
above,ऊपर
case,मामला
dear,प्रिय
thee,तेरा
says,कहते हैं
person,व्यक्ति
high,ऊँचा
read,पढ़ना
city,शहर
already,पहले से ही
received,प्राप्त किया
fact,तथ्य
